"","x"
"HIST1H4E",-2.61044713460637
"MAK16",-0.871278457471763
"NIPSNAP3B",2.46564821354505
"MEIS2",1.49078830222758
"PCDHGA5",1.52070535170834
"INPP5K",0.829260936105783
"TEAD1",0.776990511376958
"JMJD6",-1.28701734970725
"HIST1H2BC",-1.15284643181749
"AFF4",-0.825147394708593
"MRPL1",-1.0530927010994
"CMBL",2.27289636378916
"FOXN3",1.42415135444192
"PCSK1N",1.36170117012846
"TBXA2R",1.51783325426848
"ZFP64",1.0028694291718
"FBXO28",-1.25148431235822
"SEZ6L2",1.39059608127629
"KLHL7",1.2506081752361
"GPM6B",1.0378892518537
"TAF3",-1.10336131847855
"PRDX2",1.00285684551113
"ADAM12",1.17318364440539
"STK35",-0.733786689042575
"ORAI3",1.64647136497637
"NOL10",-0.88295863957739
"PCDHGA8",1.64803890569419
"RNF19B",-1.14767105533124
"ELOVL6",1.43744599182417
"EIF2B2",-1.50341163022811
"PCDHB12",1.17731802276583
"ZFAND3",-1.01459272336275
"INTS12",-1.44780564701431
"CCT5",-1.29657669096684
"PTP4A1",-1.51857878873334
"TMEM185A",0.863296368914387
"ZNF622",-1.80348517215301
"ZFYVE9",0.80895139537673
"CRY1",-2.75081151447159
"CCT8",-0.959977781434708
"PGM2L1",1.36399487881646
"SRCAP",-1.06641877052957
"P3H2",1.01880193510676
"C3orf62",-1.09880692240007
"WDR53",-1.0555805137189
"TEX30",-1.54059047286312
"LBH",-1.40439180981563
"P3H1",0.87864877139522
"GXYLT1",1.02375942508606
"PDIA4",1.30810099985666
"HIST1H2BL",-1.59474047078984
"CRELD1",1.04426387820328
"OAS2",1.46134396976368
"TRANK1",1.16686819205777
"MKI67",-1.53420161843752
"TRIB3",-3.1079447236383
"GOSR2",-0.720486887525701
"FICD",-2.3627690564224
"TBL2",-0.78084974593727
"PPP2R3A",0.98450984336292
"TMED5",0.744892111302237
"HIST1H2AH",-3.3190988393297
"CTSF",2.20956119748519
"FOSB",-4.17074266801104
"RANBP9",0.713736916986161
"MRPS18A",-1.0771583572999
"ZBTB46",-1.38018623211425
"B3GNT7",1.84192127868243
"DOT1L",-1.47991969692657
"ZMYND8",0.865852787414229
"CCDC59",-1.22572284768232
"ZNF598",-1.31004531899128
"CTGF",1.58717435191886
"ARIH2",-0.859014177374351
"GAL3ST4",2.38412136091894
"RAB3IL1",-1.24710322271711
"TTC3",1.80944043527443
"ZNF670",-2.16642945881848
